ID,Word,IMA_M,IMA_SD,IMA_MIN,IMA_MAX,IMA_N
271,背叛,3.85714,1.79682,1,7,21
272,背诵,4.59091,1.86851,1,7,22
273,背心,5.90909,2.04495,1,7,22
274,背影,6.28571,1.34695,3,7,21
275,被动,2.72727,1.75070,1,6,22
276,被告,4.75000,1.74341,1,7,20
277,被迫,2.86957,1.81670,1,7,23
278,被褥,6.18182,1.00647,4,7,22
279,被子,7.00000,0.00000,7,7,28
280,奔波,4.17391,1.64184,1,7,23
281,奔驰,6.00000,1.15470,4,7,22
282,奔放,2.95652,1.71830,1,7,23
283,奔赴,3.91304,1.73623,1,7,46
284,奔跑,5.45000,1.90498,1,7,20
285,奔丧,4.31818,1.88696,2,7,22
286,奔腾,3.95000,1.90498,1,7,20
287,奔走,5.28571,1.38358,3,7,21
288,本分,2.90909,1.65929,1,6,22
289,本家,3.18182,1.91824,1,7,22
290,本科,4.13636,2.51274,1,7,22
291,本来,3.80000,2.26181,1,7,20
292,本领,3.56522,2.25280,1,7,23
293,本能,3.60870,1.92617,1,7,46
294,本钱,4.04762,2.21912,1,7,42
295,本人,5.60000,2.16187,1,7,20
296,本色,2.89655,1.97022,1,7,29
297,本身,3.28261,1.70832,1,7,46
298,本事,3.87500,2.09012,1,7,40
299,本土,4.05000,2.25890,1,7,20
300,本质,2.86364,1.69861,1,6,22
301,本子,6.66667,0.65828,5,7,21
302,笨蛋,5.20000,2.09259,1,7,20
303,笨重,4.04348,1.84584,1,7,23
304,笨拙,5.65217,1.52580,2,7,23
305,崩溃,4.60000,2.16187,1,7,20
306,崩塌,5.47619,1.91361,1,7,21
307,迸发,3.75000,1.97017,1,7,20
308,迸溅,4.04348,2.12085,1,7,23
309,迸裂,3.14286,1.85164,1,7,21
310,迸射,2.52632,1.30675,1,5,19
311,逼近,4.36364,1.89097,1,7,22
312,逼迫,4.60000,2.13739,1,7,20
313,逼真,3.90909,2.20193,1,7,22
314,鼻孔,6.00000,1.30931,3,7,22
315,鼻涕,6.19048,1.16701,4,7,21
316,鼻子,6.94737,0.22942,6,7,19
317,鼻祖,3.45455,1.73829,1,7,22
318,匕首,6.40909,0.85407,5,7,22
319,比方,3.34483,1.96897,1,7,29
320,比分,4.36364,2.12794,1,7,22
321,比画,4.27273,2.45302,1,7,22
322,比较,3.45455,2.42462,1,7,22
323,比例,4.36364,1.88125,1,7,44
324,比拟,2.50000,1.23544,1,5,20
325,比如,3.20000,2.28496,1,7,20
326,比赛,5.58333,1.61290,2,7,24
327,比喻,2.68182,1.64422,1,6,22
328,比重,3.60000,1.95744,1,7,20
329,比作,2.77273,1.74388,1,7,22
330,彼此,4.26087,2.19953,1,7,23
331,笔耕,2.21053,1.47494,1,6,19
332,笔画,5.73913,1.51410,3,7,23
333,笔记,6.40909,0.90812,4,7,22
334,笔墨,6.39286,0.91649,4,7,28
335,笔试,5.44000,1.38741,2,7,50
336,笔顺,4.25000,2.02290,1,7,20
337,笔挺,4.70000,1.89459,1,7,20
338,笔直,4.90909,1.57084,2,7,22
339,鄙薄,2.79310,1.82011,1,7,29
340,鄙人,3.90476,2.32174,1,7,21
341,鄙视,4.11905,2.02668,1,7,42
342,鄙夷,3.27273,1.75070,1,7,22
343,必定,3.52174,2.15047,1,7,23
344,必将,2.28571,1.41926,1,6,21
