word.EN,word.CH,pos,syllables,strokes,HSK,valence.mean.CH,valence.sd.CH,valence.N.CH,arousal.mean.CH,arousal.sd.CH,arousal.N.CH,valence.mean.EN,valence.sd.EN,valence.N.EN,arousal.mean.EN,arousal.sd.EN,arousal.N.EN,sensory.mean.CH,sensory.sd.CH,sensory.N.CH,valence_Xu,arousal_Xu,valence_yao,arousal_yao,imageability_su,familiarity_su,concreteness_xu,freq_m_Tsang,freq_cncorpus,AoA_Xu,RT_Tsang,zRT_Tsang,category
amnesia,失忆症,noun,3,19,NA,4.25,2.08,16,5.5,2.03,16,3.43,1.69,21,5.04,2.48,23,4.25,2.54,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amnesty,特赦,verb,2,21,NA,5.12,1.31,16,5.44,1.09,16,5.38,2.22,21,3.86,2.33,21,4.38,2.22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
amount,数量,noun,2,25,4,5.19,0.66,16,4.56,1.15,16,5.42,0.61,19,3.53,1.98,19,4.12,2.73,16,0.18,1.62,4.41,3.68,4.33333,6.571429,2.548387,12.64,0.0164,7.4,709.26,-0.459,NA
ample,充足,adjective,2,13,6,6.25,1.55,32,5.56,1.13,32,5.89,2.21,19,3.28,2.14,18,#N/A,#N/A,#N/A,1.4,2.37,NA,NA,4,6.464286,3.192308,6.08,0.0025,11.6,606.09,-0.758,NA
amputate,截肢,verb,2,22,NA,2.5,2.16,16,7.19,2.04,16,2.1,1.45,20,5.43,2.37,23,6.19,2.14,16,NA,NA,NA,NA,NA,5.086957,NA,NA,NA,12,NA,NA,NA
amulet,护身符,noun,3,25,NA,6.33,0.9,15,4.31,1.49,16,5.75,1.8,20,3.95,2.29,21,4.94,2.49,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
analysis,分析,verb,2,12,5,5.52,1.03,31,3.97,1.6,32,5.25,1.59,20,3.74,1.94,19,3.28,1.85,32,0.62,2.28,NA,NA,4.2,6.076923,4,45.34,0.0385,14.5,629.55,-0.738,NA
analyst,分析师,noun,3,18,NA,5.67,1.29,15,4,1.83,16,5,0.79,20,3.24,2.12,21,2.94,2.14,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
anatomy,解剖,verb,2,23,6,4.72,1.05,32,5.23,1.61,31,6.29,1.01,21,4.43,2.4,21,4.83,2.57,35,-0.46,2.63,NA,NA,4.93182,6.382353,2.347826,8.44,0.0018,13.5,693.41,-0.497,NA
ancestor,祖先,noun,2,15,6,5.8,1.21,15,3.94,1.69,16,6.37,1.16,19,3.73,2.41,22,4.12,2.5,16,0.65,2.21,NA,NA,5.33333,6.558824,2.307692,6.59,0.0041,9.5,666.39,-0.608,NA
ancestral,祖传,verb,2,15,NA,5.38,1.54,16,4.75,1.73,16,6.6,1.6,20,3.6,2.37,20,4.62,2.39,16,0.73,2.56,NA,NA,NA,5.75,3.057143,0.75,NA,12.3,750.02,-0.273,NA
anchor,锚,noun,1,13,NA,5.67,1.05,15,3.73,1.44,15,5.16,2.17,19,3.32,2.08,22,3.13,2.26,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
android,安卓,noun,2,14,NA,5.75,1.13,16,4.12,1.31,16,5.62,2.33,21,3.5,2.41,24,4.25,2.24,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
